# Time step   
# Time        	deltaT
4.85227       	4.476608e-03
4.85689       	4.616502e-03
4.86166       	4.770386e-03
4.86627       	4.611373e-03
4.87105       	4.776065e-03
4.87549       	4.446681e-03
4.87994       	4.446681e-03
4.88439       	4.446681e-03
4.88901       	4.624548e-03
4.89364       	4.624548e-03
4.89826       	4.624548e-03
4.9031        	4.844765e-03
4.90795       	4.844765e-03
4.91306       	5.113918e-03
4.91818       	5.113918e-03
4.92363       	5.454846e-03
4.92909       	5.454846e-03
4.93454       	5.454846e-03
4.94049       	5.950742e-03
4.94644       	5.950742e-03
4.95239       	5.950742e-03
4.95834       	5.950742e-03
4.9643        	5.950742e-03
4.97025       	5.950742e-03
4.9762        	5.950742e-03
4.98215       	5.950742e-03
4.9881        	5.950742e-03
4.99405       	5.950742e-03
5             	5.950742e-03
5.00662       	6.622517e-03
5.01387       	7.250931e-03
5.02129       	7.414485e-03
5.0287        	7.414485e-03
5.03612       	7.414485e-03
5.04353       	7.414485e-03
5.05083       	7.301287e-03
5.05813       	7.301287e-03
5.06527       	7.135349e-03
5.07163       	6.358712e-03
5.07782       	6.189147e-03
5.08351       	5.692487e-03
5.08913       	5.622640e-03
5.09472       	5.588145e-03
5.10031       	5.588145e-03
5.10583       	5.519579e-03
5.11128       	5.452267e-03
5.11673       	5.452267e-03
5.12218       	5.452267e-03
5.12764       	5.452267e-03
5.13309       	5.452267e-03
5.13807       	4.982244e-03
5.14305       	4.982244e-03
5.14801       	4.953445e-03
5.15266       	4.655697e-03
5.15705       	4.390346e-03
5.16135       	4.300748e-03
5.16563       	4.278805e-03
